"","size","group","precision","target"
"1",100,"A",2.29371708984644,"EGFR"
"2",90,"A",2.5179195000919,"EGFR"
"3",80,"A",2.69487904059549,"EGFR"
"4",70,"A",2.81989681383167,"EGFR"
"5",60,"A",2.99577283587576,"EGFR"
"6",50,"A",3.01610057344508,"EGFR"
"7",40,"A",3.12909228754566,"EGFR"
"8",30,"A",3.3174048888072,"EGFR"
"9",20,"A",3.81805651274983,"EGFR"
"10",10,"A",5.34877309070857,"EGFR"
"11",9,"A",5.45343137254902,"EGFR"
"12",8,"A",5.54789800137836,"EGFR"
"13",7,"A",5.82906656163844,"EGFR"
"14",6,"A",5.88235294117647,"EGFR"
"15",5,"A",6.22932745314223,"EGFR"
"16",4,"A",7.02963473466575,"EGFR"
"17",3,"A",8.18014705882353,"EGFR"
"18",2,"A",9.93103448275862,"EGFR"
"19",1,"A",12.6721763085399,"EGFR"
"20",0.9,"A",13.1498470948012,"EGFR"
"21",0.8,"A",12.0689655172414,"EGFR"
"22",0.7,"A",12.5984251968504,"EGFR"
"23",0.6,"A",13.7614678899083,"EGFR"
"24",0.5,"A",13.7362637362637,"EGFR"
"25",0.4,"A",17.2413793103448,"EGFR"
"26",0.3,"A",16.5137614678899,"EGFR"
"27",0.2,"A",16.4383561643836,"EGFR"
"28",0.1,"A",27.7777777777778,"EGFR"
"29",100,"S",2.29371708984644,"EGFR"
"30",90,"S",2.5485511241806,"EGFR"
"31",80,"S",2.83272451581777,"EGFR"
"32",70,"S",3.13890748690481,"EGFR"
"33",60,"S",3.53795258224591,"EGFR"
"34",50,"S",3.97000441111601,"EGFR"
"35",40,"S",4.50065476600731,"EGFR"
"36",30,"S",4.94394412791766,"EGFR"
"37",20,"S",5.63749138525155,"EGFR"
"38",10,"S",7.16845878136201,"EGFR"
"39",9,"S",7.62867647058824,"EGFR"
"40",8,"S",8.16678152997932,"EGFR"
"41",7,"S",8.66482867270579,"EGFR"
"42",6,"S",9.60477941176471,"EGFR"
"43",5,"S",10.9702315325248,"EGFR"
"44",4,"S",12.6809097174363,"EGFR"
"45",3,"S",15.7169117647059,"EGFR"
"46",2,"S",20.1379310344828,"EGFR"
"47",1,"S",26.7217630853994,"EGFR"
"48",0.9,"S",28.1345565749235,"EGFR"
"49",0.8,"S",30,"EGFR"
"50",0.7,"S",31.8897637795276,"EGFR"
"51",0.6,"S",32.5688073394495,"EGFR"
"52",0.5,"S",30.2197802197802,"EGFR"
"53",0.4,"S",31.7241379310345,"EGFR"
"54",0.3,"S",38.5321100917431,"EGFR"
"55",0.2,"S",43.8356164383562,"EGFR"
"56",0.1,"S",55.5555555555556,"EGFR"
"57",5,"RF5_xi",10.9702315325248,"EGFR"
"58",4,"RF5_xi",13.4390075809786,"EGFR"
"59",3,"RF5_xi",16.5441176470588,"EGFR"
"60",2,"RF5_xi",19.2837465564738,"EGFR"
"61",1,"RF5_xi",27.5482093663912,"EGFR"
"62",0.9,"RF5_xi",29.9694189602446,"EGFR"
"63",0.8,"RF5_xi",31.0344827586207,"EGFR"
"64",0.7,"RF5_xi",33.8582677165354,"EGFR"
"65",0.6,"RF5_xi",37.1559633027523,"EGFR"
"66",0.5,"RF5_xi",39.5604395604396,"EGFR"
"67",0.4,"RF5_xi",41.3793103448276,"EGFR"
"68",0.3,"RF5_xi",43.1192660550459,"EGFR"
"69",0.2,"RF5_xi",50.6849315068493,"EGFR"
"70",0.1,"RF5_xi",72.2222222222222,"EGFR"
"71",5,"RF5_xiii",10.9702315325248,"EGFR"
"72",4,"RF5_xiii",13.3011716057891,"EGFR"
"73",3,"RF5_xiii",15.5330882352941,"EGFR"
"74",2,"RF5_xiii",18.0440771349862,"EGFR"
"75",1,"RF5_xiii",22.8650137741047,"EGFR"
"76",0.9,"RF5_xiii",22.3241590214067,"EGFR"
"77",0.8,"RF5_xiii",21.7241379310345,"EGFR"
"78",0.7,"RF5_xiii",22.4409448818898,"EGFR"
"79",0.6,"RF5_xiii",24.3119266055046,"EGFR"
"80",0.5,"RF5_xiii",25.2747252747253,"EGFR"
"81",0.4,"RF5_xiii",24.1379310344828,"EGFR"
"82",0.3,"RF5_xiii",28.4403669724771,"EGFR"
"83",0.2,"RF5_xiii",31.5068493150685,"EGFR"
"84",0.1,"RF5_xiii",38.8888888888889,"EGFR"
"85",1,"RF1_xi",26.7217630853994,"EGFR"
"86",0.9,"RF1_xi",29.4478527607362,"EGFR"
"87",0.8,"RF1_xi",32.0689655172414,"EGFR"
"88",0.7,"RF1_xi",34.6456692913386,"EGFR"
"89",0.6,"RF1_xi",38.7096774193548,"EGFR"
"90",0.5,"RF1_xi",42.5414364640884,"EGFR"
"91",0.4,"RF1_xi",46.8965517241379,"EGFR"
"92",0.3,"RF1_xi",57.4074074074074,"EGFR"
"93",0.2,"RF1_xi",70.8333333333333,"EGFR"
"94",0.1,"RF1_xi",83.3333333333333,"EGFR"
"95",1,"RF1_xiii",26.7217630853994,"EGFR"
"96",0.9,"RF1_xiii",28.8343558282209,"EGFR"
"97",0.8,"RF1_xiii",32.0689655172414,"EGFR"
"98",0.7,"RF1_xiii",34.6456692913386,"EGFR"
"99",0.6,"RF1_xiii",39.1705069124424,"EGFR"
"100",0.5,"RF1_xiii",44.1988950276243,"EGFR"
"101",0.4,"RF1_xiii",46.8965517241379,"EGFR"
"102",0.3,"RF1_xiii",50,"EGFR"
"103",0.2,"RF1_xiii",68.0555555555556,"EGFR"
"104",0.1,"RF1_xiii",75,"EGFR"
"105",5,"NN5_xi",10.9702315325248,"EGFR"
"106",4,"NN5_xi",13.0254996554101,"EGFR"
"107",3,"NN5_xi",14.7977941176471,"EGFR"
"108",2,"NN5_xi",19.1460055096419,"EGFR"
"109",1,"NN5_xi",26.9972451790634,"EGFR"
"110",0.9,"NN5_xi",29.6636085626911,"EGFR"
"111",0.8,"NN5_xi",31.0344827586207,"EGFR"
"112",0.7,"NN5_xi",33.4645669291339,"EGFR"
"113",0.6,"NN5_xi",37.1559633027523,"EGFR"
"114",0.5,"NN5_xi",40.1098901098901,"EGFR"
"115",0.4,"NN5_xi",45.5172413793103,"EGFR"
"116",0.3,"NN5_xi",48.6238532110092,"EGFR"
"117",0.2,"NN5_xi",50.6849315068493,"EGFR"
"118",0.1,"NN5_xi",52.7777777777778,"EGFR"
"119",5,"NN5_xiii",10.9702315325248,"EGFR"
"120",4,"NN5_xiii",13.4390075809786,"EGFR"
"121",3,"NN5_xiii",14.7058823529412,"EGFR"
"122",2,"NN5_xiii",18.870523415978,"EGFR"
"123",1,"NN5_xiii",25.6198347107438,"EGFR"
"124",0.9,"NN5_xiii",24.4648318042813,"EGFR"
"125",0.8,"NN5_xiii",25.5172413793103,"EGFR"
"126",0.7,"NN5_xiii",25.9842519685039,"EGFR"
"127",0.6,"NN5_xiii",25.6880733944954,"EGFR"
"128",0.5,"NN5_xiii",29.6703296703297,"EGFR"
"129",0.4,"NN5_xiii",34.4827586206897,"EGFR"
"130",0.3,"NN5_xiii",41.2844036697248,"EGFR"
"131",0.2,"NN5_xiii",49.3150684931507,"EGFR"
"132",0.1,"NN5_xiii",63.8888888888889,"EGFR"
"133",1,"NN1_xi",26.7217630853994,"EGFR"
"134",0.9,"NN1_xi",28.8343558282209,"EGFR"
"135",0.8,"NN1_xi",30.6896551724138,"EGFR"
"136",0.7,"NN1_xi",33.8582677165354,"EGFR"
"137",0.6,"NN1_xi",36.4055299539171,"EGFR"
"138",0.5,"NN1_xi",41.9889502762431,"EGFR"
"139",0.4,"NN1_xi",48.9655172413793,"EGFR"
"140",0.3,"NN1_xi",57.4074074074074,"EGFR"
"141",0.2,"NN1_xi",66.6666666666667,"EGFR"
"142",0.1,"NN1_xi",61.1111111111111,"EGFR"
"143",1,"NN1_xiii",26.7217630853994,"EGFR"
"144",0.9,"NN1_xiii",29.7546012269939,"EGFR"
"145",0.8,"NN1_xiii",32.0689655172414,"EGFR"
"146",0.7,"NN1_xiii",31.496062992126,"EGFR"
"147",0.6,"NN1_xiii",35.9447004608295,"EGFR"
"148",0.5,"NN1_xiii",38.6740331491713,"EGFR"
"149",0.4,"NN1_xiii",44.1379310344828,"EGFR"
"150",0.3,"NN1_xiii",51.8518518518519,"EGFR"
"151",0.2,"NN1_xiii",52.7777777777778,"EGFR"
"152",0.1,"NN1_xiii",69.4444444444444,"EGFR"
"153",100,"cML100",2.29371708984644,"EGFR"
"154",90,"cML100",2.38314035410157,"EGFR"
"155",80,"cML100",2.53980288097043,"EGFR"
"156",70,"cML100",2.70568311606475,"EGFR"
"157",60,"cML100",2.87171475831649,"EGFR"
"158",50,"cML100",3.22011468901632,"EGFR"
"159",40,"cML100",3.4461368805569,"EGFR"
"160",30,"cML100",3.87796360963058,"EGFR"
"161",20,"cML100",4.53480358373536,"EGFR"
"162",10,"cML100",5.73476702508961,"EGFR"
"163",9,"cML100",6.06617647058824,"EGFR"
"164",8,"cML100",6.61612680909717,"EGFR"
"165",7,"cML100",7.16817644742024,"EGFR"
"166",6,"cML100",7.62867647058824,"EGFR"
"167",5,"cML100",7.66262403528115,"EGFR"
"168",4,"cML100",8.40799448656099,"EGFR"
"169",3,"cML100",9.19117647058824,"EGFR"
"170",2,"cML100",11.8620689655172,"EGFR"
"171",1,"cML100",13.4986225895317,"EGFR"
"172",0.9,"cML100",13.4556574923547,"EGFR"
"173",0.8,"cML100",14.1379310344828,"EGFR"
"174",0.7,"cML100",14.1732283464567,"EGFR"
"175",0.6,"cML100",15.5963302752294,"EGFR"
"176",0.5,"cML100",17.5824175824176,"EGFR"
"177",0.4,"cML100",20.6896551724138,"EGFR"
"178",0.3,"cML100",25.6880733944954,"EGFR"
"179",0.2,"cML100",30.1369863013699,"EGFR"
"180",0.1,"cML100",30.5555555555556,"EGFR"
"181",5,"cML5",10.9702315325248,"EGFR"
"182",4,"cML5",13.4390075809786,"EGFR"
"183",3,"cML5",16.4522058823529,"EGFR"
"184",2,"cML5",18.870523415978,"EGFR"
"185",1,"cML5",27.2727272727273,"EGFR"
"186",0.9,"cML5",28.7461773700306,"EGFR"
"187",0.8,"cML5",30.3448275862069,"EGFR"
"188",0.7,"cML5",32.2834645669291,"EGFR"
"189",0.6,"cML5",34.8623853211009,"EGFR"
"190",0.5,"cML5",40.1098901098901,"EGFR"
"191",0.4,"cML5",37.9310344827586,"EGFR"
"192",0.3,"cML5",42.2018348623853,"EGFR"
"193",0.2,"cML5",49.3150684931507,"EGFR"
"194",0.1,"cML5",55.5555555555556,"EGFR"
"195",1,"cML1",26.7217630853994,"EGFR"
"196",0.9,"cML1",29.4478527607362,"EGFR"
"197",0.8,"cML1",31.7241379310345,"EGFR"
"198",0.7,"cML1",34.251968503937,"EGFR"
"199",0.6,"cML1",38.7096774193548,"EGFR"
"200",0.5,"cML1",42.5414364640884,"EGFR"
"201",0.4,"cML1",48.2758620689655,"EGFR"
"202",0.3,"cML1",56.4814814814815,"EGFR"
"203",0.2,"cML1",70.8333333333333,"EGFR"
"204",0.1,"cML1",77.7777777777778,"EGFR"
"205",100,"C100",2.29371708984644,"EGFR"
"206",90,"C100",2.52404582490964,"EGFR"
"207",80,"C100",2.80860155765387,"EGFR"
"208",70,"C100",3.09952345319208,"EGFR"
"209",60,"C100",3.40470501746003,"EGFR"
"210",50,"C100",3.77701808557565,"EGFR"
"211",40,"C100",4.25942518436832,"EGFR"
"212",30,"C100",4.81529130674508,"EGFR"
"213",20,"C100",6.07856650585803,"EGFR"
"214",10,"C100",8.76757650951199,"EGFR"
"215",9,"C100",9.49754901960784,"EGFR"
"216",8,"C100",10.5444521019986,"EGFR"
"217",7,"C100",11.1855061047657,"EGFR"
"218",6,"C100",12.3161764705882,"EGFR"
"219",5,"C100",13.0650496141125,"EGFR"
"220",4,"C100",14.6106133700896,"EGFR"
"221",3,"C100",16.6360294117647,"EGFR"
"222",2,"C100",18.7586206896552,"EGFR"
"223",1,"C100",23.6914600550964,"EGFR"
"224",0.9,"C100",25.0764525993884,"EGFR"
"225",0.8,"C100",26.2068965517241,"EGFR"
"226",0.7,"C100",28.3464566929134,"EGFR"
"227",0.6,"C100",30.2752293577982,"EGFR"
"228",0.5,"C100",29.6703296703297,"EGFR"
"229",0.4,"C100",33.1034482758621,"EGFR"
"230",0.3,"C100",33.9449541284404,"EGFR"
"231",0.2,"C100",41.0958904109589,"EGFR"
"232",0.1,"C100",55.5555555555556,"EGFR"
"233",5,"C5",10.9702315325248,"EGFR"
"234",4,"C5",12.8187456926258,"EGFR"
"235",3,"C5",15.7169117647059,"EGFR"
"236",2,"C5",19.8347107438017,"EGFR"
"237",1,"C5",24.7933884297521,"EGFR"
"238",0.9,"C5",24.7706422018349,"EGFR"
"239",0.8,"C5",25.8620689655172,"EGFR"
"240",0.7,"C5",26.7716535433071,"EGFR"
"241",0.6,"C5",28.8990825688073,"EGFR"
"242",0.5,"C5",30.2197802197802,"EGFR"
"243",0.4,"C5",33.7931034482759,"EGFR"
"244",0.3,"C5",35.7798165137615,"EGFR"
"245",0.2,"C5",36.986301369863,"EGFR"
"246",0.1,"C5",47.2222222222222,"EGFR"
"247",1,"C1",26.7217630853994,"EGFR"
"248",0.9,"C1",29.7546012269939,"EGFR"
"249",0.8,"C1",32.4137931034483,"EGFR"
"250",0.7,"C1",35.0393700787402,"EGFR"
"251",0.6,"C1",35.4838709677419,"EGFR"
"252",0.5,"C1",34.2541436464088,"EGFR"
"253",0.4,"C1",35.1724137931034,"EGFR"
"254",0.3,"C1",38.8888888888889,"EGFR"
"255",0.2,"C1",41.6666666666667,"EGFR"
"256",0.1,"C1",41.6666666666667,"EGFR"
"257",100,"B",2.29371708984644,"EGFR"
"258",90,"B",2.53323531213625,"EGFR"
"259",80,"B",2.79137087325109,"EGFR"
"260",70,"B",3.00894017565279,"EGFR"
"261",60,"B",3.25307847822092,"EGFR"
"262",50,"B",3.35796206440229,"EGFR"
"263",40,"B",3.55641326073472,"EGFR"
"264",30,"B",3.64822642896526,"EGFR"
"265",20,"B",4.03859407305307,"EGFR"
"266",10,"B",5.51419906258616,"EGFR"
"267",9,"B",5.91299019607843,"EGFR"
"268",8,"B",6.40937284631289,"EGFR"
"269",7,"B",6.93186293816463,"EGFR"
"270",6,"B",7.62867647058824,"EGFR"
"271",5,"B",8.54465270121279,"EGFR"
"272",4,"B",9.51068228807719,"EGFR"
"273",3,"B",9.92647058823529,"EGFR"
"274",2,"B",12.9655172413793,"EGFR"
"275",1,"B",14.8760330578512,"EGFR"
"276",0.9,"B",16.5137614678899,"EGFR"
"277",0.8,"B",16.2068965517241,"EGFR"
"278",0.7,"B",16.7300380228137,"EGFR"
"279",0.6,"B",16.7300380228137,"EGFR"
"280",0.5,"B",16.7300380228137,"EGFR"
"281",0.4,"B",16.7300380228137,"EGFR"
"282",0.3,"B",16.7300380228137,"EGFR"
"283",0.2,"B",16.7300380228137,"EGFR"
"284",0.1,"B",16.7300380228137,"EGFR"
